GO	Genes
GO:0003677	Glyma.02G181200
GO:0008270	Glyma.02G181200
GO:0005634	Glyma.02G181200
GO:0016746	Glyma.02G181300
GO:0008152	Glyma.02G181300
GO:0006355	Glyma.02G181600
GO:0003700	Glyma.02G181600
GO:0055085	Glyma.02G181800
GO:0016020	Glyma.02G181800
GO:0015297	Glyma.02G181800
GO:0015238	Glyma.02G181800
GO:0006855	Glyma.02G181800
GO:0048544	Glyma.02G182200
GO:0006468	Glyma.02G182200
GO:0004672	Glyma.02G182200
GO:0005525	Glyma.02G182800
GO:0006468	Glyma.02G182900
GO:0004672	Glyma.02G182900
GO:0008270	Glyma.02G183100
GO:0006468	Glyma.02G183302
GO:0004672	Glyma.02G183302
GO:0030247	Glyma.02G183400
GO:0006468	Glyma.02G183500
GO:0005524	Glyma.02G183500
GO:0004672	Glyma.02G183500
GO:0005515	Glyma.02G183601
GO:0046961	Glyma.02G184000
GO:0046933	Glyma.02G184000
GO:0045261	Glyma.02G184000
GO:0015986	Glyma.02G184000
GO:0016758	Glyma.02G184200
GO:0008152	Glyma.02G184200
GO:0005515	Glyma.02G184300
GO:0043531	Glyma.02G184300
GO:0007010	Glyma.02G184600
GO:0003779	Glyma.02G184600
GO:0016747	Glyma.02G185100
GO:0006355	Glyma.02G185200
GO:0003700	Glyma.02G185200
GO:0007275	Glyma.02G185200
GO:0045454	Glyma.02G185300
GO:0055114	Glyma.02G185300
GO:0016491	Glyma.02G185300
GO:0006355	Glyma.02G185500
GO:0005634	Glyma.02G185500
GO:0003700	Glyma.02G185500
GO:0046983	Glyma.02G185500
GO:0003677	Glyma.02G185500
GO:0017025	Glyma.02G185900
GO:0008270	Glyma.02G185900
GO:0006355	Glyma.02G185900
GO:0006352	Glyma.02G185900
GO:0016758	Glyma.02G186000
GO:0008152	Glyma.02G186000
GO:0005516	Glyma.02G186100
GO:0046872	Glyma.02G186100
GO:0000166	Glyma.02G186100
GO:0055114	Glyma.02G186600
GO:0051287	Glyma.02G186600
GO:0046168	Glyma.02G186600
GO:0016616	Glyma.02G186600
GO:0005975	Glyma.02G186600
GO:0004367	Glyma.02G186600
GO:0009331	Glyma.02G186600
GO:0006072	Glyma.02G186600
GO:0008236	Glyma.02G186700
GO:0006508	Glyma.02G186700
GO:0046294	Glyma.02G186700
GO:0018738	Glyma.02G186700
GO:0005975	Glyma.02G186800
GO:0004553	Glyma.02G186800
GO:0005515	Glyma.02G187100
GO:0005852	Glyma.02G187100
GO:0005737	Glyma.02G187100
GO:0003743	Glyma.02G187100
GO:0005515	Glyma.02G187200
GO:0005524	Glyma.02G187800
GO:0051082	Glyma.02G187800
GO:0006457	Glyma.02G187800
GO:0005515	Glyma.02G188000
GO:0055114	Glyma.02G188200
GO:0016491	Glyma.02G188200
GO:0016887	Glyma.02G188300
GO:0005524	Glyma.02G188300
GO:0016020	Glyma.02G188300
GO:0003723	Glyma.02G188600
GO:0005515	Glyma.02G188700
GO:0005515	Glyma.02G189250
GO:0030170	Glyma.02G189300
GO:0008483	Glyma.02G189300
GO:0016021	Glyma.02G189400
GO:0006952	Glyma.02G189400
GO:0008168	Glyma.02G189600
GO:0006629	Glyma.02G190000
GO:0004806	Glyma.02G190000
GO:0005515	Glyma.02G190600
GO:0016021	Glyma.02G190700
GO:0008963	Glyma.02G190700
GO:0006468	Glyma.02G191000
GO:0005524	Glyma.02G191000
GO:0004672	Glyma.02G191000
GO:0004674	Glyma.02G191000
GO:0006281	Glyma.02G191100
GO:0004518	Glyma.02G191100
GO:0009058	Glyma.02G191500
GO:0005524	Glyma.02G191500
GO:0009396	Glyma.02G191500
GO:0004326	Glyma.02G191500
GO:0006415	Glyma.02G191600
GO:0003747	Glyma.02G191600
GO:0016149	Glyma.02G191600
GO:0005737	Glyma.02G191600
GO:0016787	Glyma.02G192200
GO:0008270	Glyma.02G192300
GO:0005515	Glyma.02G192300
GO:0009607	Glyma.02G192400
GO:0006952	Glyma.02G192400
GO:0006468	Glyma.02G192700
GO:0004672	Glyma.02G192700
GO:0051259	Glyma.02G193000
GO:0051087	Glyma.02G193000
GO:0006457	Glyma.02G193000
GO:0045454	Glyma.02G193800
GO:0015035	Glyma.02G193800
GO:0009055	Glyma.02G193800
GO:0006334	Glyma.02G194100
GO:0005634	Glyma.02G194100
GO:0003677	Glyma.02G194100
GO:0000786	Glyma.02G194100
GO:0008270	Glyma.02G194400
GO:0005515	Glyma.02G194400
GO:0006355	Glyma.02G195000
GO:0003700	Glyma.02G195000
GO:0005515	Glyma.02G195300
GO:0016020	Glyma.02G195300
GO:0005515	Glyma.02G195400
GO:0016020	Glyma.02G195400
GO:0005524	Glyma.02G195500
GO:0003676	Glyma.02G195500
GO:0004386	Glyma.02G195500
GO:0006355	Glyma.02G195700
GO:0003677	Glyma.02G195700
GO:0016567	Glyma.02G195900
GO:0004842	Glyma.02G195900
GO:0006468	Glyma.02G196000
GO:0004672	Glyma.02G196000
GO:0031225	Glyma.02G196100
GO:0016049	Glyma.02G196100
GO:0010215	Glyma.02G196100
GO:0016567	Glyma.02G196301
GO:0004842	Glyma.02G196301
GO:0006355	Glyma.02G196500
GO:0003677	Glyma.02G196500
GO:0008270	Glyma.02G196600
GO:0005515	Glyma.02G197000
GO:0006468	Glyma.02G197000
GO:0004672	Glyma.02G197000
GO:0019538	Glyma.02G198000
GO:0006508	Glyma.02G198200
GO:0004190	Glyma.02G198200
GO:0055114	Glyma.02G198400
GO:0051920	Glyma.02G198400
GO:0016491	Glyma.02G198400
GO:0006355	Glyma.02G198700
GO:0005667	Glyma.02G198700
GO:0003700	Glyma.02G198700
GO:0008270	Glyma.02G200000
GO:0003676	Glyma.02G200000
GO:0006412	Glyma.02G200300
GO:0005840	Glyma.02G200300
GO:0005622	Glyma.02G200300
GO:0003735	Glyma.02G200300
GO:0003677	Glyma.02G200500
GO:0005515	Glyma.02G201300
GO:0035091	Glyma.02G201400
GO:0009733	Glyma.02G202200
GO:0009982	Glyma.02G202300
GO:0009451	Glyma.02G202300
GO:0003723	Glyma.02G202300
GO:0001522	Glyma.02G202300
GO:0055114	Glyma.02G202500
GO:0016491	Glyma.02G202500
GO:0008152	Glyma.02G202500
GO:0046983	Glyma.02G202600
GO:0005739	Glyma.02G202700
GO:0004129	Glyma.02G202700
GO:0007165	Glyma.02G202900
GO:0006629	Glyma.02G203300
GO:0051260	Glyma.02G203400
GO:0005515	Glyma.02G203600
GO:0006468	Glyma.02G203600
GO:0004672	Glyma.02G203600
GO:0045905	Glyma.02G203700
GO:0045901	Glyma.02G203700
GO:0043022	Glyma.02G203700
GO:0006452	Glyma.02G203700
GO:0003746	Glyma.02G203700
GO:0003723	Glyma.02G203700
GO:0043565	Glyma.02G203800
GO:0006355	Glyma.02G203800
GO:0003700	Glyma.02G203800
GO:0008725	Glyma.02G203900
GO:0006284	Glyma.02G203900
GO:0006508	Glyma.02G204000
GO:0005622	Glyma.02G204000
GO:0004177	Glyma.02G204000
GO:0016021	Glyma.02G204200
GO:0055085	Glyma.02G204300
GO:0016020	Glyma.02G204300
GO:0006811	Glyma.02G204300
GO:0005216	Glyma.02G204300
GO:0009055	Glyma.02G204500
GO:0006614	Glyma.02G204600
GO:0005525	Glyma.02G204600
GO:0006508	Glyma.02G204700
GO:0004185	Glyma.02G204700
GO:0016021	Glyma.02G205102
GO:0005515	Glyma.02G205200
GO:0005515	Glyma.02G205500
GO:0003723	Glyma.02G205500
GO:0006413	Glyma.02G205700
GO:0003743	Glyma.02G205700
GO:0005515	Glyma.02G206300
GO:0006468	Glyma.02G206300
GO:0005524	Glyma.02G206300
GO:0004672	Glyma.02G206300
GO:0006351	Glyma.02G206401
GO:0003899	Glyma.02G206401
GO:0003677	Glyma.02G206401
GO:0006412	Glyma.02G206700
GO:0005840	Glyma.02G206700
GO:0005622	Glyma.02G206700
GO:0003735	Glyma.02G206700
GO:0016021	Glyma.02G207000
GO:0006355	Glyma.02G207100
GO:0003700	Glyma.02G207100
GO:0007275	Glyma.02G207100
GO:0005515	Glyma.02G207400
GO:0006468	Glyma.02G207400
GO:0005524	Glyma.02G207400
GO:0004672	Glyma.02G207400
GO:0006508	Glyma.02G207600
GO:0004190	Glyma.02G207600
GO:0005524	Glyma.02G207800
GO:0009073	Glyma.02G208400
GO:0003849	Glyma.02G208400
GO:0006468	Glyma.02G208500
GO:0005524	Glyma.02G208500
GO:0004672	Glyma.02G208500
GO:0055114	Glyma.02G208600
GO:0016702	Glyma.02G208600
GO:0019904	Glyma.02G208700
GO:0005739	Glyma.02G208900
GO:0004129	Glyma.02G208900
GO:0055114	Glyma.02G209000
GO:0020037	Glyma.02G209000
GO:0006979	Glyma.02G209000
GO:0004601	Glyma.02G209000
GO:0046983	Glyma.02G209300
GO:0055085	Glyma.02G209400
GO:0016020	Glyma.02G209400
GO:0006810	Glyma.02G209400
GO:0015171	Glyma.02G209400
GO:0003333	Glyma.02G209400
GO:0009055	Glyma.02G209500
GO:0006796	Glyma.02G209900
GO:0005737	Glyma.02G209900
GO:0004427	Glyma.02G209900
GO:0000287	Glyma.02G209900
GO:0008270	Glyma.02G210400
GO:0005515	Glyma.02G210400
GO:0046983	Glyma.02G210500
GO:0008270	Glyma.02G210600
GO:0005515	Glyma.02G210600
GO:0008270	Glyma.02G210700
GO:0005515	Glyma.02G210700
GO:0055114	Glyma.02G210800
GO:0016491	Glyma.02G210800
GO:0016021	Glyma.02G211000
GO:0005215	Glyma.02G211000
GO:0051082	Glyma.02G211200
GO:0031072	Glyma.02G211200
GO:0006468	Glyma.02G212000
GO:0005524	Glyma.02G212000
GO:0004672	Glyma.02G212000
GO:0005634	Glyma.02G212400
GO:0006096	Glyma.02G212600
GO:0006094	Glyma.02G212600
GO:0004347	Glyma.02G212600
GO:0006508	Glyma.02G213000
GO:0004190	Glyma.02G213000
GO:0006950	Glyma.02G213100
GO:0036459	Glyma.02G213400
GO:0016579	Glyma.02G213400
GO:0008270	Glyma.02G213700
GO:0004089	Glyma.02G213700
GO:0046983	Glyma.02G213800
GO:0008234	Glyma.02G214100
GO:0006508	Glyma.02G214100
GO:0008017	Glyma.02G214300
GO:0007018	Glyma.02G214300
GO:0005524	Glyma.02G214300
GO:0003777	Glyma.02G214300
GO:0005871	Glyma.02G214300
GO:0055114	Glyma.02G214700
GO:0016491	Glyma.02G214700
GO:0016747	Glyma.02G214900
GO:0006468	Glyma.02G215300
GO:0004672	Glyma.02G215300
GO:0043565	Glyma.02G215600
GO:0008270	Glyma.02G215600
GO:0006355	Glyma.02G215600
GO:0003700	Glyma.02G215600
GO:0005515	Glyma.02G215600
GO:0031012	Glyma.02G215700
GO:0008270	Glyma.02G215700
GO:0006508	Glyma.02G215700
GO:0004222	Glyma.02G215700
GO:0004842	Glyma.02G216000
GO:0006367	Glyma.02G216100
GO:0005672	Glyma.02G216100
GO:0046983	Glyma.02G216600
GO:0003677	Glyma.02G216600
GO:0006355	Glyma.02G216600
GO:0005634	Glyma.02G216600
GO:0003700	Glyma.02G216600
GO:2000029	Glyma.02G216600
GO:0048481	Glyma.02G216600
GO:0048316	Glyma.02G216600
GO:0016740	Glyma.02G217100
GO:0007165	Glyma.02G217300
GO:0005515	Glyma.02G217500
GO:0046983	Glyma.02G217800
GO:0006355	Glyma.02G218100
GO:0005634	Glyma.02G218100
GO:0055114	Glyma.02G218300
GO:0050661	Glyma.02G218300
GO:0033014	Glyma.02G218300
GO:0008883	Glyma.02G218300
GO:0055085	Glyma.02G218400
GO:0016020	Glyma.02G218400
GO:0015297	Glyma.02G218400
GO:0015238	Glyma.02G218400
GO:0006855	Glyma.02G218400
GO:0055114	Glyma.02G218700
GO:0008677	Glyma.02G218700
GO:0005975	Glyma.02G218700
GO:0004367	Glyma.02G218700
GO:0009331	Glyma.02G218700
GO:0006072	Glyma.02G218700
GO:0055085	Glyma.02G218800
GO:0016021	Glyma.02G218800
GO:0015299	Glyma.02G218800
GO:0006812	Glyma.02G218800
GO:0046872	Glyma.02G219200
GO:0005524	Glyma.02G219200
GO:0005515	Glyma.02G219800
GO:0006468	Glyma.02G219800
GO:0005524	Glyma.02G219800
GO:0004672	Glyma.02G219800
GO:0006412	Glyma.02G220000
GO:0005840	Glyma.02G220000
GO:0003735	Glyma.02G220000
GO:0005515	Glyma.02G220300
GO:0003676	Glyma.02G220800
GO:0008033	Glyma.02G221100
GO:0004540	Glyma.02G221100
GO:0030983	Glyma.02G221300
GO:0006298	Glyma.02G221300
GO:0005524	Glyma.02G221300
GO:0006468	Glyma.02G221900
GO:0004672	Glyma.02G221900
GO:0030246	Glyma.02G221900
GO:0016021	Glyma.02G222000
GO:0016020	Glyma.02G222000
GO:0022857	Glyma.02G222000
GO:0016021	Glyma.02G222100
GO:0016020	Glyma.02G222100
GO:0022857	Glyma.02G222100
GO:0006355	Glyma.02G222300
GO:0003677	Glyma.02G222300
GO:0006096	Glyma.02G222400
GO:0004332	Glyma.02G222400
GO:0046872	Glyma.02G222600
GO:0030001	Glyma.02G222600
GO:0046872	Glyma.02G222700
GO:0030001	Glyma.02G222700
GO:0006355	Glyma.02G223000
GO:0005739	Glyma.02G223000
GO:0003690	Glyma.02G223000
GO:0005515	Glyma.02G223100
GO:2001070	Glyma.02G223400
GO:0003723	Glyma.02G223400
GO:0008270	Glyma.02G223600
GO:0005515	Glyma.02G223600
GO:0005515	Glyma.02G223700
GO:0055085	Glyma.02G224001
GO:0016021	Glyma.02G224001
GO:0006468	Glyma.02G224001
GO:0004672	Glyma.02G224001
GO:0016020	Glyma.02G224600
GO:0006810	Glyma.02G224600
GO:0005215	Glyma.02G224600
GO:0005507	Glyma.02G224800
GO:0055114	Glyma.02G224800
GO:0016491	Glyma.02G224800
GO:0005975	Glyma.02G225000
GO:0004553	Glyma.02G225000
GO:0005524	Glyma.02G225300
GO:0016021	Glyma.02G225300
GO:0008270	Glyma.02G225300
GO:0004222	Glyma.02G225300
GO:0006508	Glyma.02G225300
GO:0005515	Glyma.02G225400
GO:0008242	Glyma.02G225500
GO:0016758	Glyma.02G225850
GO:0008152	Glyma.02G225850
GO:0016758	Glyma.02G226000
GO:0008152	Glyma.02G226000
GO:0046872	Glyma.02G226100
GO:0003676	Glyma.02G226100
GO:0016765	Glyma.02G226200
GO:0055085	Glyma.02G226500
GO:0016021	Glyma.02G226500
GO:0019140	Glyma.02G226600
GO:0010264	Glyma.02G226600
GO:0005524	Glyma.02G226600
GO:0033588	Glyma.02G226700
GO:0005515	Glyma.02G226800
GO:0035556	Glyma.02G226800
GO:0007165	Glyma.02G226800
GO:0006629	Glyma.02G226800
GO:0004435	Glyma.02G226800
GO:0005524	Glyma.02G226900
GO:0046872	Glyma.02G227000
GO:0055114	Glyma.02G227200
GO:0016717	Glyma.02G227200
GO:0006629	Glyma.02G227200
GO:0080028	Glyma.02G227500
GO:0019762	Glyma.02G227500
GO:0055114	Glyma.02G227700
GO:0016491	Glyma.02G227700
GO:0005515	Glyma.02G227900
GO:0006529	Glyma.02G228100
GO:0004066	Glyma.02G228100
GO:0003824	Glyma.02G228200
GO:0006470	Glyma.02G228200
GO:0004722	Glyma.02G228200
GO:0006468	Glyma.02G228300
GO:0005524	Glyma.02G228300
GO:0004672	Glyma.02G228300
GO:0030132	Glyma.02G228400
GO:0030130	Glyma.02G228400
GO:0016192	Glyma.02G228400
GO:0006886	Glyma.02G228400
GO:0005198	Glyma.02G228400
GO:0071805	Glyma.02G228500
GO:0016020	Glyma.02G228500
GO:0015079	Glyma.02G228500
GO:0006000	Glyma.02G228700
GO:0005524	Glyma.02G228700
GO:0003873	Glyma.02G228700
GO:0006003	Glyma.02G228700
GO:0003824	Glyma.02G228700
GO:0008270	Glyma.02G228800
GO:0005515	Glyma.02G228800
GO:0008080	Glyma.02G229200
GO:0005515	Glyma.02G229300
GO:0051087	Glyma.02G229300
GO:0005515	Glyma.02G229500
GO:0006468	Glyma.02G229500
GO:0005524	Glyma.02G229500
GO:0004672	Glyma.02G229500
GO:0045454	Glyma.02G229600
GO:0015035	Glyma.02G229600
GO:0009055	Glyma.02G229600
GO:0008641	Glyma.02G229700
GO:0006468	Glyma.02G229900
GO:0004672	Glyma.02G229900
GO:0003723	Glyma.02G230300
GO:0008199	Glyma.02G230432
GO:0006879	Glyma.02G230432
GO:0006826	Glyma.02G230432
GO:0050662	Glyma.02G230500
GO:0003824	Glyma.02G230500
GO:0008270	Glyma.02G230600
GO:0005515	Glyma.02G230800
GO:0016758	Glyma.02G230900
GO:0008152	Glyma.02G230900
GO:0016758	Glyma.02G231000
GO:0008152	Glyma.02G231000
GO:0016787	Glyma.02G231100
GO:0055114	Glyma.02G231600
GO:0016491	Glyma.02G231600
GO:0005507	Glyma.02G231600
GO:0035091	Glyma.02G231800
GO:0006887	Glyma.02G231900
GO:0000145	Glyma.02G231900
GO:0006887	Glyma.02G232000
GO:0000145	Glyma.02G232000
GO:0006887	Glyma.02G232100
GO:0000145	Glyma.02G232100
GO:0016788	Glyma.02G232200
GO:0016788	Glyma.02G232400
GO:0043565	Glyma.02G232600
GO:0006355	Glyma.02G232600
GO:0003700	Glyma.02G232600
GO:0003676	Glyma.02G232800
GO:0017069	Glyma.02G232800
GO:0000398	Glyma.02G232800
GO:0008270	Glyma.02G232900
GO:0005515	Glyma.02G232900
GO:0008171	Glyma.02G233100
GO:0009982	Glyma.02G233500
GO:0009451	Glyma.02G233500
GO:0003723	Glyma.02G233500
GO:0001522	Glyma.02G233500
GO:0009982	Glyma.02G233600
GO:0009451	Glyma.02G233600
GO:0003723	Glyma.02G233600
GO:0001522	Glyma.02G233600
GO:0055114	Glyma.02G233800
GO:0020037	Glyma.02G233800
GO:0006979	Glyma.02G233800
GO:0004601	Glyma.02G233800
GO:0055114	Glyma.02G233900
GO:0020037	Glyma.02G233900
GO:0006979	Glyma.02G233900
GO:0004601	Glyma.02G233900
GO:0055114	Glyma.02G234000
GO:0020037	Glyma.02G234000
GO:0006979	Glyma.02G234000
GO:0004601	Glyma.02G234000
GO:0031083	Glyma.02G234100
GO:0055114	Glyma.02G234200
GO:0020037	Glyma.02G234200
GO:0006979	Glyma.02G234200
GO:0004601	Glyma.02G234200
GO:0016567	Glyma.02G234300
GO:0004842	Glyma.02G234300
GO:0005515	Glyma.02G234300
GO:0003723	Glyma.02G234500
GO:0006418	Glyma.02G234500
GO:0005524	Glyma.02G234500
GO:0004812	Glyma.02G234500
GO:0000166	Glyma.02G234500
GO:0004831	Glyma.02G234500
GO:0007165	Glyma.02G234800
GO:0007165	Glyma.02G235100
GO:0055114	Glyma.02G235300
GO:0020037	Glyma.02G235300
GO:0016705	Glyma.02G235300
GO:0005506	Glyma.02G235300
GO:0003677	Glyma.02G235600
GO:0006468	Glyma.02G235700
GO:0005524	Glyma.02G235700
GO:0004672	Glyma.02G235700
GO:0043565	Glyma.02G236200
GO:0006355	Glyma.02G236200
GO:0003700	Glyma.02G236200
GO:0003677	Glyma.02G236400
GO:0055114	Glyma.02G236500
GO:0020037	Glyma.02G236500
GO:0016705	Glyma.02G236500
GO:0005506	Glyma.02G236500
GO:0006413	Glyma.02G236700
GO:0003743	Glyma.02G236700
GO:0006355	Glyma.02G236800
GO:0003700	Glyma.02G236800
GO:0005515	Glyma.02G237000
GO:0006468	Glyma.02G237000
GO:0005524	Glyma.02G237000
GO:0004672	Glyma.02G237000
GO:0005515	Glyma.02G237100
GO:0009638	Glyma.02G237100
GO:0004871	Glyma.02G237100
GO:0006468	Glyma.02G237233
GO:0005524	Glyma.02G237233
GO:0004672	Glyma.02G237233
GO:0005515	Glyma.02G237300
GO:0006468	Glyma.02G237300
GO:0005524	Glyma.02G237300
GO:0004672	Glyma.02G237300
GO:0003677	Glyma.02G237500
GO:0055085	Glyma.02G237567
GO:0016021	Glyma.02G237567
GO:0008324	Glyma.02G237567
GO:0006812	Glyma.02G237567
GO:0055085	Glyma.02G237633
GO:0016021	Glyma.02G237633
GO:0008324	Glyma.02G237633
GO:0006812	Glyma.02G237633
GO:0070469	Glyma.02G237700
GO:0022900	Glyma.02G237700
GO:0005743	Glyma.02G237700
GO:0016763	Glyma.02G238100
GO:0009435	Glyma.02G238100
GO:0004514	Glyma.02G238100
GO:0016757	Glyma.02G238200
GO:0016887	Glyma.02G238300
GO:0005524	Glyma.02G238300
GO:0055085	Glyma.02G238300
GO:0042626	Glyma.02G238300
GO:0016021	Glyma.02G238300
GO:0006810	Glyma.02G238300
GO:0016021	Glyma.02G238600
GO:0030976	Glyma.02G238800
GO:0003824	Glyma.02G238800
GO:0000287	Glyma.02G238800
GO:0005515	Glyma.02G239200
GO:0008152	Glyma.02G239300
GO:0003824	Glyma.02G239300
GO:0008152	Glyma.02G239400
GO:0003824	Glyma.02G239400
GO:0008152	Glyma.02G239500
GO:0003824	Glyma.02G239500
GO:0006355	Glyma.02G239600
GO:0005634	Glyma.02G239600
GO:0003677	Glyma.02G239600
GO:0009725	Glyma.02G239600
GO:0006412	Glyma.02G239700
GO:0005840	Glyma.02G239700
GO:0005622	Glyma.02G239700
GO:0003735	Glyma.02G239700
GO:0016740	Glyma.02G240200
GO:0009058	Glyma.02G240200
GO:0016157	Glyma.02G240400
GO:0005985	Glyma.02G240400
GO:0006355	Glyma.02G240500
GO:0003677	Glyma.02G240500
GO:0005515	Glyma.02G240600
GO:0006914	Glyma.02G240700
GO:0005737	Glyma.02G240700
GO:0070569	Glyma.02G241100
GO:0008152	Glyma.02G241100
GO:0055114	Glyma.02G241200
GO:0016616	Glyma.02G241200
GO:0006102	Glyma.02G241200
GO:0004450	Glyma.02G241200
GO:0030170	Glyma.02G241400
GO:0019752	Glyma.02G241400
GO:0016831	Glyma.02G241400
GO:0006468	Glyma.02G241500
GO:0005524	Glyma.02G241500
GO:0004672	Glyma.02G241500
GO:0030246	Glyma.02G241500
GO:0006950	Glyma.02G241601
GO:0016021	Glyma.02G241800
GO:0005515	Glyma.02G242700
GO:0006468	Glyma.02G242700
GO:0004672	Glyma.02G242700
GO:0016567	Glyma.02G242900
GO:0004842	Glyma.02G242900
GO:0055085	Glyma.02G243400
GO:0016020	Glyma.02G243400
GO:0006811	Glyma.02G243400
GO:0005216	Glyma.02G243400
GO:0006508	Glyma.02G243600
GO:0004190	Glyma.02G243600
GO:0008641	Glyma.02G243700
GO:0006807	Glyma.02G243901
GO:0006542	Glyma.02G243901
GO:0004356	Glyma.02G243901
GO:0006807	Glyma.02G244000
GO:0006542	Glyma.02G244000
GO:0004356	Glyma.02G244000
GO:0016787	Glyma.02G244100
GO:0006468	Glyma.02G244400
GO:0005524	Glyma.02G244400
GO:0004672	Glyma.02G244400
GO:0007264	Glyma.02G244500
GO:0005525	Glyma.02G244500
GO:0005975	Glyma.02G244700
GO:0004553	Glyma.02G244700
GO:0016788	Glyma.02G244900
GO:0006334	Glyma.02G245000
GO:0005634	Glyma.02G245000
GO:0003677	Glyma.02G245000
GO:0000786	Glyma.02G245000
GO:0006334	Glyma.02G245100
GO:0005634	Glyma.02G245100
GO:0003677	Glyma.02G245100
GO:0000786	Glyma.02G245100
GO:0006468	Glyma.02G246000
GO:0005524	Glyma.02G246000
GO:0004672	Glyma.02G246000
GO:0046983	Glyma.02G246400
GO:0005515	Glyma.02G246500
GO:0016020	Glyma.02G246700
GO:0006810	Glyma.02G246700
GO:0005215	Glyma.02G246700
GO:0006468	Glyma.02G247600
GO:0004672	Glyma.02G247600
GO:0051536	Glyma.02G247700
GO:0003824	Glyma.02G247700
GO:0008173	Glyma.02G247700
GO:0006364	Glyma.02G247700
GO:0005737	Glyma.02G247700
GO:0003676	Glyma.02G247800
GO:0005515	Glyma.02G247900
GO:0005515	Glyma.02G248000
GO:0005515	Glyma.02G248100
GO:0030117	Glyma.02G248300
GO:0016192	Glyma.02G248300
GO:0006886	Glyma.02G248300
GO:0030123	Glyma.02G248300
GO:0031047	Glyma.02G248400
GO:0031011	Glyma.02G248700
GO:0006355	Glyma.02G248700
GO:0006281	Glyma.02G248700
GO:0006508	Glyma.02G249000
GO:0004190	Glyma.02G249000
GO:0008270	Glyma.02G249100
GO:0005515	Glyma.02G249100
GO:0016746	Glyma.02G249300
GO:0008152	Glyma.02G249300
GO:0005524	Glyma.02G249600
GO:0032012	Glyma.02G250000
GO:0005086	Glyma.02G250000
GO:0006470	Glyma.02G250200
GO:0004722	Glyma.02G250200
GO:0008168	Glyma.02G250400
GO:0016568	Glyma.02G250900
GO:0004402	Glyma.02G250900
GO:0016573	Glyma.02G250900
GO:0006348	Glyma.02G250900
GO:0005634	Glyma.02G250900
GO:0005759	Glyma.02G251000
GO:0055114	Glyma.02G251100
GO:0016491	Glyma.02G251100
GO:0008152	Glyma.02G251100
GO:0016020	Glyma.02G251200
GO:0009058	Glyma.02G251400
GO:0005524	Glyma.02G251400
GO:0009396	Glyma.02G251400
GO:0004326	Glyma.02G251400
GO:0005515	Glyma.02G251500
GO:0016787	Glyma.02G251600
GO:0005515	Glyma.02G251700
GO:0008270	Glyma.02G251800
GO:0005525	Glyma.02G252000
GO:0006508	Glyma.02G252200
GO:0004252	Glyma.02G252200
GO:0046983	Glyma.02G252400
GO:0005089	Glyma.02G252600
GO:0008270	Glyma.02G253000
GO:0006412	Glyma.02G253500
GO:0005840	Glyma.02G253500
GO:0005622	Glyma.02G253500
GO:0003735	Glyma.02G253500
GO:0055085	Glyma.02G253600
GO:0008270	Glyma.02G253700
GO:0005975	Glyma.02G253800
GO:0004553	Glyma.02G253800
GO:0003993	Glyma.02G253900
GO:0006188	Glyma.02G254000
GO:0004018	Glyma.02G254000
GO:0016021	Glyma.02G254500
GO:0008233	Glyma.02G254500
GO:0006465	Glyma.02G254500
GO:0005787	Glyma.02G254500
GO:0016747	Glyma.02G254600
GO:0003677	Glyma.02G254800
GO:0005515	Glyma.02G254900
GO:0016020	Glyma.02G255000
GO:0006810	Glyma.02G255000
GO:0005215	Glyma.02G255000
GO:0016021	Glyma.02G255100
GO:0015012	Glyma.02G255100
GO:0006024	Glyma.02G255100
GO:0006952	Glyma.02G255400
GO:0042254	Glyma.02G255500
GO:0005622	Glyma.02G255500
GO:0042254	Glyma.02G255600
GO:0005622	Glyma.02G255600
GO:0005515	Glyma.02G255700
GO:0018024	Glyma.02G255900
GO:0006508	Glyma.02G256000
GO:0004222	Glyma.02G256000
GO:0006468	Glyma.02G256200
GO:0004672	Glyma.02G256200
GO:0005515	Glyma.02G256200
GO:0055114	Glyma.02G256800
GO:0020037	Glyma.02G256800
GO:0016705	Glyma.02G256800
GO:0005506	Glyma.02G256800
GO:0005515	Glyma.02G257000
GO:0035556	Glyma.02G257000
GO:0007165	Glyma.02G257000
GO:0006629	Glyma.02G257000
GO:0004435	Glyma.02G257000
GO:0005515	Glyma.02G257100
GO:0035556	Glyma.02G257100
GO:0007165	Glyma.02G257100
GO:0006629	Glyma.02G257100
GO:0004435	Glyma.02G257100
GO:0005515	Glyma.02G257200
GO:0035556	Glyma.02G257200
GO:0007165	Glyma.02G257200
GO:0006629	Glyma.02G257200
GO:0004435	Glyma.02G257200
GO:0006468	Glyma.02G257300
GO:0005524	Glyma.02G257300
GO:0004672	Glyma.02G257300
GO:0006468	Glyma.02G257600
GO:0004672	Glyma.02G257600
GO:0055114	Glyma.02G257700
GO:0016491	Glyma.02G257700
GO:0016192	Glyma.02G257800
GO:0016021	Glyma.02G257800
GO:0050826	Glyma.02G258000
GO:0005680	Glyma.02G258100
GO:0030132	Glyma.02G258200
GO:0030130	Glyma.02G258200
GO:0016192	Glyma.02G258200
GO:0006886	Glyma.02G258200
GO:0005198	Glyma.02G258200
GO:0046983	Glyma.02G258300
GO:0016020	Glyma.02G258800
GO:0006886	Glyma.02G258800
GO:0006605	Glyma.02G258800
GO:0016020	Glyma.02G258900
GO:0006886	Glyma.02G258900
