GO	Genes
GO:0006468	Glyma.01G013500
GO:0004672	Glyma.01G013500
GO:0043565	Glyma.01G013600
GO:0006355	Glyma.01G013600
GO:0003700	Glyma.01G013600
GO:0048046	Glyma.01G013900
GO:0016762	Glyma.01G013900
GO:0006073	Glyma.01G013900
GO:0005618	Glyma.01G013900
GO:0005975	Glyma.01G013900
GO:0004553	Glyma.01G013900
GO:0030244	Glyma.01G014000
GO:0016760	Glyma.01G014000
GO:0016020	Glyma.01G014000
GO:0016746	Glyma.01G014200
GO:0008152	Glyma.01G014200
GO:0004366	Glyma.01G014200
GO:0050662	Glyma.01G014400
GO:0003824	Glyma.01G014400
GO:0003677	Glyma.01G014600
GO:0008289	Glyma.01G014600
GO:0003676	Glyma.01G015500
GO:0005515	Glyma.01G015600
GO:0043565	Glyma.01G015900
GO:0006355	Glyma.01G015900
GO:0005634	Glyma.01G015900
GO:0003700	Glyma.01G015900
GO:0016567	Glyma.01G016200
GO:0004842	Glyma.01G016200
GO:0005515	Glyma.01G016300
GO:0016567	Glyma.01G016300
GO:0004842	Glyma.01G016300
GO:0016887	Glyma.01G016500
GO:0005524	Glyma.01G016500
GO:0055085	Glyma.01G016500
GO:0042626	Glyma.01G016500
GO:0016021	Glyma.01G016500
GO:0006810	Glyma.01G016500
GO:0052726	Glyma.01G016700
GO:0052725	Glyma.01G016700
GO:0047325	Glyma.01G016700
GO:0032957	Glyma.01G016700
GO:0005622	Glyma.01G016700
GO:0005524	Glyma.01G016700
GO:0000287	Glyma.01G016700
GO:0003676	Glyma.01G016900
GO:0055114	Glyma.01G017100
GO:0016616	Glyma.01G017100
GO:0006694	Glyma.01G017100
GO:0003854	Glyma.01G017100
GO:0008270	Glyma.01G017200
GO:0005515	Glyma.01G017200
GO:0008270	Glyma.01G017300
GO:0005515	Glyma.01G017300
GO:0003676	Glyma.01G017400
GO:0046983	Glyma.01G018400
GO:0006094	Glyma.01G019200
GO:0005524	Glyma.01G019200
GO:0004612	Glyma.01G019200
GO:0006355	Glyma.01G019400
GO:0005634	Glyma.01G019400
GO:0046983	Glyma.01G019700
GO:0016887	Glyma.01G020000
GO:0005524	Glyma.01G020000
GO:0016020	Glyma.01G020000
GO:0006468	Glyma.01G020100
GO:0004672	Glyma.01G020100
GO:0006508	Glyma.01G020300
GO:0004222	Glyma.01G020300
GO:0006355	Glyma.01G020500
GO:0005634	Glyma.01G020500
GO:0003700	Glyma.01G020500
GO:0046983	Glyma.01G020500
GO:0003677	Glyma.01G020500
GO:0030246	Glyma.01G020600
GO:0030246	Glyma.01G020700
GO:0055114	Glyma.01G020900
GO:0016491	Glyma.01G020900
GO:0008270	Glyma.01G020900
GO:0055114	Glyma.01G021000
GO:0016491	Glyma.01G021000
GO:0008270	Glyma.01G021000
GO:0006355	Glyma.01G021100
GO:0003677	Glyma.01G021100
GO:0008017	Glyma.01G021200
GO:0007018	Glyma.01G021200
GO:0005524	Glyma.01G021200
GO:0003777	Glyma.01G021200
GO:0005871	Glyma.01G021200
GO:0003723	Glyma.01G021400
GO:0016758	Glyma.01G021700
GO:0008152	Glyma.01G021700
GO:0016758	Glyma.01G021900
GO:0008152	Glyma.01G021900
GO:0003677	Glyma.01G022100
GO:0016758	Glyma.01G022300
GO:0008152	Glyma.01G022300
GO:0006468	Glyma.01G022400
GO:0005524	Glyma.01G022400
GO:0004672	Glyma.01G022400
GO:0006355	Glyma.01G022500
GO:0003700	Glyma.01G022500
GO:0007275	Glyma.01G022500
GO:0016567	Glyma.01G022600
GO:0004842	Glyma.01G022600
GO:0006468	Glyma.01G022600
GO:0004672	Glyma.01G022600
GO:0055085	Glyma.01G022700
GO:0016020	Glyma.01G022700
GO:0006810	Glyma.01G022700
GO:0005215	Glyma.01G022700
GO:0055085	Glyma.01G023200
GO:0016020	Glyma.01G023200
GO:0006355	Glyma.01G023500
GO:0005634	Glyma.01G023500
GO:0003700	Glyma.01G023500
GO:0046983	Glyma.01G023500
GO:0003677	Glyma.01G023500
GO:0008017	Glyma.01G023600
GO:0007018	Glyma.01G023600
GO:0005524	Glyma.01G023600
GO:0003777	Glyma.01G023600
GO:0005871	Glyma.01G023600
GO:0003824	Glyma.01G023700
GO:0046983	Glyma.01G023833
GO:0005634	Glyma.01G024700
GO:0006096	Glyma.01G024800
GO:0003872	Glyma.01G024800
GO:0055085	Glyma.01G025200
GO:0016020	Glyma.01G025200
GO:0015297	Glyma.01G025200
GO:0015238	Glyma.01G025200
GO:0006855	Glyma.01G025200
GO:0006355	Glyma.01G025400
GO:0003700	Glyma.01G025400
GO:0055114	Glyma.01G025500
GO:0016491	Glyma.01G025500
